Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
DS22,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,188.125595,-173.470000,270.000000,top
DS23,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,181.465595,-180.130000,270.000000,top
DS24,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,174.145595,-186.060000,270.000000,top
DS25,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,166.245595,-191.190000,270.000000,top
DS26,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,157.855595,-195.470000,270.000000,top
DS27,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,149.055595,-198.850000,270.000000,top
DS28,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,139.955595,-201.280000,270.000000,top
DS29,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,130.655595,-202.760000,270.000000,top
DS30,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,121.245595,-203.250000,270.000000,top
DS31,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,111.835595,-202.760000,270.000000,top
DS32,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,102.535595,-201.280000,270.000000,top
DS33,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,93.435595,-198.850000,270.000000,top
DS34,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,84.635595,-195.470000,270.000000,top
DS35,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,76.245595,-191.190000,270.000000,top
DS36,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,68.345595,-186.060000,270.000000,top
DS37,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,61.025595,-180.130000,270.000000,top
DS38,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,54.365595,-173.470000,270.000000,top
DS39,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,48.435595,-166.150000,270.000000,top
DS40,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,43.305595,-158.250000,270.000000,top
DS41,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,39.025595,-149.860000,270.000000,top
DS42,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,35.645595,-141.060000,270.000000,top
DS43,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,33.215595,-131.960000,270.000000,top
DS44,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,31.735595,-122.660000,270.000000,top
DS45,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,31.245595,-113.250000,270.000000,top
DS46,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,31.735595,-103.840000,270.000000,top
DS47,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,33.215595,-94.540000,270.000000,top
DS48,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,35.645595,-85.440000,270.000000,top
DS49,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,39.025595,-76.640000,270.000000,top
DS50,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,43.305595,-68.250000,270.000000,top
DS51,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,48.435595,-60.350000,270.000000,top
DS52,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,54.365595,-53.030000,270.000000,top
DS53,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,61.025595,-46.370000,270.000000,top
DS54,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,68.345595,-40.440000,270.000000,top
DS55,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,76.245595,-35.310000,270.000000,top
DS56,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,84.635595,-31.030000,270.000000,top
DS57,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,93.435595,-27.650000,270.000000,top
DS58,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,102.535595,-25.220000,270.000000,top
DS59,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,111.835595,-23.740000,270.000000,top
DS60,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,53.750000,-95.250000,270.000000,top
DS61,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,61.750000,-95.250000,270.000000,top
DS62,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,45.750000,-101.250000,270.000000,top
DS63,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,69.750000,-101.250000,270.000000,top
DS64,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,45.750000,-107.250000,270.000000,top
DS65,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,69.750000,-107.250000,270.000000,top
DS66,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,53.750000,-113.250000,270.000000,top
DS67,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,61.750000,-113.250000,270.000000,top
DS68,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,45.750000,-119.250000,270.000000,top
DS69,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,69.750000,-119.250000,270.000000,top
DS70,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,45.750000,-125.250000,270.000000,top
DS71,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,69.750000,-125.250000,270.000000,top
DS72,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,53.750000,-131.250000,270.000000,top
DS73,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,61.750000,-131.250000,270.000000,top
DS74,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,77.750000,-107.250000,270.000000,top
DS75,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,77.750000,-119.250000,270.000000,top
DS76,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,77.750000,-131.250000,270.000000,top
DS77,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,93.750000,-95.250000,270.000000,top
DS78,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,101.750000,-95.250000,270.000000,top
DS79,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,85.750000,-101.250000,270.000000,top
DS80,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,109.750000,-101.250000,270.000000,top
DS81,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,85.750000,-107.250000,270.000000,top
DS82,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,109.750000,-107.250000,270.000000,top
DS83,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,93.750000,-113.250000,270.000000,top
DS84,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,101.750000,-113.250000,270.000000,top
DS85,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,85.750000,-119.250000,270.000000,top
DS86,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,109.750000,-119.250000,270.000000,top
DS87,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,85.750000,-125.250000,270.000000,top
